31102105    Literary 	68.9
31105456	Literary 	58.4
31105457	Literary 	81.1
31105458	Literary 	86.3
31105460	Literary 	66.9
31105462	Literary 	89
31105463	Literary 	65.3
31105465	Literary 	56.4
31105467	Literary 	60.1
31105468	Literary 	91.6
31105469	Literary 	64.7
31105470	Literary 	92.9
31105471	Literary 	66.1
31105473	Literary 	94.1
31105474	Literary 	76.4
31105476	Literary 	65.9
31105477	Literary 	82.1
31105478	Literary 	64
31105480	Literary 	75.1
31105482	Literary 	84.1
31105485	Literary 	59.7
31105486	Literary 	91.4
31105487	Literary 	89.9
31105488	Literary 	78.7
31105491	Literary 	78
31105493	Literary 	77.6
31105495	Literary 	80.6
31105496	Literary 	69.4
31105497	Literary 	90.9
31105498	Literary 	74.1
31105499	Literary 	75.3
31105500	Literary 	90.3
31105502	Literary 	89.4
31105503	Literary 	63.6
31105505	Literary 	73
31105506	Literary 	73.3
31105507	Literary 	69.4
31105509	Literary 	68.9
31105510	Literary 	84.6
31105513	Literary 	91.4
31105514	Literary 	94.7
31105515	Literary 	90
31105516	Literary 	63.3
31105518	Literary 	83.6
31105519	Literary 	79.7
31105520	Literary 	72.1
31105523	Literary 	92.3
31105524	Literary 	78
31105525	Literary 	69.6
31105526	Literary 	76.7
31105527	Literary 	81
31105528	Literary 	67.4
31105529	Literary 	81.1
31105533	Literary 	79.3
31105535	Literary 	91.7
31105536	Literary 	94.1
31105537	Literary 	94.6
31105538	Literary 	73.3
31105539	Literary 	81.3
31105542	Literary 	67.9
31105543	Literary 	72.9
31105544	Literary 	76.7
31105546	Literary 	76.1
31105547	Literary 	96.9
31105548	Literary 	60.7
31105549	Literary 	87.3
31105551	Literary 	80.1
31105552	Literary 	93.7
31105553	Literary 	70.1
31105554	Literary 	81.6
31105555	Literary 	81
31105556	Literary 	66
31105557	Literary 	66.9
31105558	Literary 	63.3
31105559	Literary 	68.4
31105560	Literary 	85.1
31105561	Literary 	71.4
31105562	Literary 	69.7
31105565	Literary 	59.4
31105566	Literary 	64.9
31105567	Literary 	72.1
31105569	Literary 	91
31105570	Literary 	57.9
31105571	Literary 	88
31105572	Literary 	93.4
31105574	Literary 	97.6
31105576	Literary 	62.7
31105577	Literary 	71.7
31105578	Literary 	77.3
31105580	Literary 	62.4
31105581	Literary 	63.1
31105582	Literary 	74.9
31105584	Literary 	62.4
31105585	Literary 	86.9
31105586	Literary 	52.9
31105587	Literary 	74.3
31105588	Literary 	62.1
31105589	Literary 	80.1
31105590	Literary 	81.3
31105592	Literary 	74.1
31105593	Literary 	87.9
31105596	Literary 	86.7
31105598	Literary 	84.9
31105599	Literary 	78.3
31105600	Literary 	86.3
